Fairfield, Kamala Harris, Democrat, 59.04
Hartford, Kamala Harris, Democrat, 60.41
Litchfield, Donald Trump, Republican, 53.27
Middlesex, Kamala Harris, Democrat, 55.55
New Haven, Kamala Harris, Democrat, 55.02
New London, Kamala Harris, Democrat, 55.41
Tolland, Kamala Harris, Democrat, 53.13
Windham, Donald Trump, Republican, 54.34
