Bristol, Kamala Harris, Democrat, 61.61
Kent, Kamala Harris, Democrat, 49.67
Newport, Kamala Harris, Democrat, 61.26
Providence, Kamala Harris, Democrat, 55.66
Washington, Kamala Harris, Democrat, 56.01
