Belknap, Donald Trump, Republican, 55.97
Carroll, Donald Trump, Republican, 50.28
Cheshire, Kamala Harris, Democrat, 54.15
Coös, Donald Trump, Republican, 56.19
Grafton, Kamala Harris, Democrat, 59.03
Hillsborough, Kamala Harris, Democrat, 50.66
Merrimack, Kamala Harris, Democrat, 51.82
Rockingham, Donald Trump, Republican, 50.53
Strafford, Kamala Harris, Democrat, 55.25
Sullivan, Donald Trump, Republican, 49.5
