Fairfield, Calvin Coolidge, Republican, 66.2
Hartford, Calvin Coolidge, Republican, 61.9
Litchfield, Calvin Coolidge, Republican, 61.3
Middlesex, Calvin Coolidge, Republican, 65.2
New Haven, Calvin Coolidge, Republican, 57.4
New London, Calvin Coolidge, Republican, 62.3
Tolland, Calvin Coolidge, Republican, 62.3
Windham, Calvin Coolidge, Republican, 59.6
