Bristol, Calvin Coolidge, Republican, 60.6
Kent, Calvin Coolidge, Republican, 65.8
Newport, Calvin Coolidge, Republican, 67.2
Providence, Calvin Coolidge, Republican, 57.2
Washington, Calvin Coolidge, Republican, 75.2
