Adams, Robert M La Follette, Progressive, 51.14
Asotin, Calvin Coolidge, Republican, 46.51
Benton, Calvin Coolidge, Republican, 45.33
Chelan, Calvin Coolidge, Republican, 55.56
Clallam, Calvin Coolidge, Republican, 52.07
Clark, Calvin Coolidge, Republican, 47.61
Columbia, Calvin Coolidge, Republican, 52.11
Cowlitz, Calvin Coolidge, Republican, 55.66
Douglas, Calvin Coolidge, Republican, 42.19
Ferry, Robert M La Follette, Progressive, 41.16
Franklin, Robert M La Follette, Progressive, 57.16
Garfield, Calvin Coolidge, Republican, 65.25
Grant, Robert M La Follette, Progressive, 41.38
Grays Harbor, Calvin Coolidge, Republican, 60.16
Island, Calvin Coolidge, Republican, 46.25
Jefferson, Calvin Coolidge, Republican, 51.79
King, Calvin Coolidge, Republican, 53.51
Kitsap, Robert M La Follette, Progressive, 48.17
Kittitas, Calvin Coolidge, Republican, 47.22
Klickitat, Calvin Coolidge, Republican, 52.72
Lewis, Calvin Coolidge, Republican, 58.07
Lincoln, Calvin Coolidge, Republican, 46.16
Mason, Calvin Coolidge, Republican, 49.02
Okanogan, Calvin Coolidge, Republican, 50.41
Pacific, Calvin Coolidge, Republican, 64.57
Pend Oreille, Calvin Coolidge, Republican, 51.05
Pierce, Calvin Coolidge, Republican, 47.7
San Juan, Calvin Coolidge, Republican, 66.67
Skagit, Calvin Coolidge, Republican, 47.95
Skamania, Calvin Coolidge, Republican, 52.15
Snohomish, Calvin Coolidge, Republican, 48.82
Spokane, Calvin Coolidge, Republican, 49.3
Stevens, Calvin Coolidge, Republican, 48.94
Thurston, Calvin Coolidge, Republican, 57.77
Wahkiakum, Calvin Coolidge, Republican, 60.49
Walla Walla, Calvin Coolidge, Republican, 58.83
Whatcom, Calvin Coolidge, Republican, 57.19
Whitman, Calvin Coolidge, Republican, 52.12
Yakima, Calvin Coolidge, Republican, 63.72
