Belknap, Calvin Coolidge, Republican, 63.79
Carroll, Calvin Coolidge, Republican, 65.4
Cheshire, Calvin Coolidge, Republican, 69
Coös, Calvin Coolidge, Republican, 52.67
Grafton, Calvin Coolidge, Republican, 64.12
Hillsborough, Calvin Coolidge, Republican, 51.66
Merrimack, Calvin Coolidge, Republican, 59.88
Rockingham, Calvin Coolidge, Republican, 68.42
Strafford, Calvin Coolidge, Republican, 56.63
Sullivan, Calvin Coolidge, Republican, 68.03
