Belknap, Donald Trump, Republican, 54.31
Carroll, Joe Biden, Democrat, 50
Cheshire, Joe Biden, Democrat, 57.52
Coös, Donald Trump, Republican, 52.09
Grafton, Joe Biden, Democrat, 61.29
Hillsborough, Joe Biden, Democrat, 52.81
Merrimack, Joe Biden, Democrat, 53.85
Rockingham, Joe Biden, Democrat, 50.2
Strafford, Joe Biden, Democrat, 56.53
Sullivan, Joe Biden, Democrat, 50.69
