Fairfield, Joe Biden, Democrat, 62.90
Hartford, Joe Biden, Democrat, 63.06
Litchfield, Donald Trump, Republican, 51.7
Middlesex, Joe Biden, Democrat, 57.3
New Haven, Joe Biden, Democrat, 58.05
New London, Joe Biden, Democrat, 56.92
Tolland, Joe Biden, Democrat, 54.7
Windham, Donald Trump, Republican, 51.05
