Hawaii, Al Gore, Democrat, 56.37
Honolulu, Al Gore, Democrat, 54.54
Kauai, Al Gore, Democrat, 61.87
Maui, Al Gore, Democrat, 59.83
Kalawao, Al Gore, Democrat, 66.67
