Belknap, George W. Bush, Republican, 55.23
Carroll, George W. Bush, Republican, 52.75
Cheshire, Al Gore, Democrat, 52.05
Coös, George W. Bush, Republican, 50.2
Grafton, Al Gore, Democrat, 47.31
Hillsborough, George W. Bush, Republican, 48.65
Merrimack, Al Gore, Democrat, 48.08
Rockingham, George W. Bush, Republican, 49.09
Strafford, Al Gore, Democrat, 51.42
Sullivan, George W. Bush, Republican, 49.84
