Barnstable, Al Gore, Democrat, 51.5
Berkshire, Al Gore, Democrat, 63.85
Bristol, Al Gore, Democrat, 64.51
Dukes, Al Gore, Democrat, 61.81
Essex, Al Gore, Democrat, 57.49
Franklin, Al Gore, Democrat, 53.78
Hampden, Al Gore, Democrat, 58.17
Hampshire, Al Gore, Democrat, 56.16
Middlesex, Al Gore, Democrat, 61.49
Nantucket, Al Gore, Democrat, 58.34
Norfolk, Al Gore, Democrat, 59.41
Plymouth, Al Gore, Democrat, 54.53
Suffolk, Al Gore, Democrat, 71.38
Worcester, Al Gore, Democrat, 56.03
