Bristol, Al Gore, Democrat, 57.68
Kent, Al Gore, Democrat, 58.89
Newport, Al Gore, Democrat, 54.94
Providence, Al Gore, Democrat, 65.26
Washington, Al Gore, Democrat, 52.58
Federal Precinct, Al Gore, Democrat, NaN, George W. Bush, Republican, NaN, George W. Bush, Republican, NaN, George W. Bush, Republican, NaN
Federal Precinct, George W. Bush, Republican, NaN, Ralph Nader, Green, NaN, Ralph Nader, Green, NaN, Ralph Nader, Green, NaN
Federal Precinct, Ralph Nader, Green, NaN, Other, Other, NaN, Other, Other, NaN, Other, Other, NaN
Federal Precinct, George W. Bush, Republican, 75.67
