Fairfield, Thomas E Dewey, Republican, 54.7
Hartford, Harry S Truman, Democrat, 53.1
Litchfield, Thomas E Dewey, Republican, 58
Middlesex, Thomas E Dewey, Republican, 51.6
New Haven, Harry S Truman, Democrat, 48.8
New London, Harry S Truman, Democrat, 50.9
Tolland, Thomas E Dewey, Republican, 52
Windham, Harry S Truman, Democrat, 52.4
