Belknap, Thomas E Dewey, Republican, 64.79
Carroll, Thomas E Dewey, Republican, 76.11
Cheshire, Thomas E Dewey, Republican, 58.32
Coös, Harry S Truman, Democrat, 52.29
Grafton, Thomas E Dewey, Republican, 63.52
Hillsborough, Harry S Truman, Democrat, 59.07
Merrimack, Thomas E Dewey, Republican, 59.37
Rockingham, Thomas E Dewey, Republican, 60.68
Strafford, Harry S Truman, Democrat, 53.29
Sullivan, Thomas E Dewey, Republican, 55.5
