Belknap, Maggie Hassan, Democrat, 50.3
Carroll, Maggie Hassan, Democrat, 51.4
Cheshire, Maggie Hassan, Democrat, 63
Coös, Maggie Hassan, Democrat, 58
Grafton, Maggie Hassan, Democrat, 61.9
Hillsborough, Maggie Hassan, Democrat, 52
Merrimack, Maggie Hassan, Democrat, 58.2
Rockingham, Maggie Hassan, Democrat, 50.8
Strafford, Maggie Hassan, Democrat, 59.5
Sullivan, Maggie Hassan, Democrat, 58
