Belknap, John Lynch, Democrat, 68.1
Carroll, John Lynch, Democrat, 62.2
Cheshire, John Lynch, Democrat, 72.8
Coös, John Lynch, Democrat, 73.9
Grafton, John Lynch, Democrat, 73.3
Hillsborough, John Lynch, Democrat, 68.7
Merrimack, John Lynch, Democrat, 74.8
Rockingham, John Lynch, Democrat, 67.3
Strafford, John Lynch, Democrat, 74.8
Sullivan, John Lynch, Democrat, 73
