Fairfield, Herbert Hoover, Republican, 55.8
Hartford, Herbert Hoover, Republican, 53.2
Litchfield, Herbert Hoover, Republican, 63.7
Middlesex, Herbert Hoover, Republican, 59.9
New Haven, Al Smith, Democrat, 50.1
New London, Herbert Hoover, Republican, 56.3
Tolland, Herbert Hoover, Republican, 59.8
Windham, Herbert Hoover, Republican, 51.4
