Bristol, Al Smith, Democrat, 51.8
Kent, Herbert Hoover, Republican, 60.4
Newport, Herbert Hoover, Republican, 55.8
Providence, Al Smith, Democrat, 52.9
Washington, Herbert Hoover, Republican, 68.8
