Belknap, Herbert Hoover, Republican, 64.63
Carroll, Herbert Hoover, Republican, 77.41
Cheshire, Herbert Hoover, Republican, 63.05
Coös, Herbert Hoover, Republican, 56.64
Grafton, Herbert Hoover, Republican, 66.99
Hillsborough, Al Smith, Democrat, 54.47
Merrimack, Herbert Hoover, Republican, 60.63
Rockingham, Herbert Hoover, Republican, 69.18
Strafford, Herbert Hoover, Republican, 58.36
Sullivan, Herbert Hoover, Republican, 61.57
