Belknap, Thomas E Dewey, Republican, 53.74
Carroll, Thomas E Dewey, Republican, 68.08
Cheshire, Thomas E Dewey, Republican, 54
Coös, Franklin D Roosevelt, Democrat, 58.36
Grafton, Thomas E Dewey, Republican, 55.58
Hillsborough, Franklin D Roosevelt, Democrat, 62
Merrimack, Thomas E Dewey, Republican, 52.17
Rockingham, Thomas E Dewey, Republican, 56.55
Strafford, Franklin D Roosevelt, Democrat, 57.07
Sullivan, Franklin D Roosevelt, Democrat, 50.13
