Fairfield, Thomas E Dewey, Republican, 50.5
Hartford, Franklin D Roosevelt, Democrat, 57
Litchfield, Thomas E Dewey, Republican, 55.2
Middlesex, Thomas E Dewey, Republican, 51
New Haven, Franklin D Roosevelt, Democrat, 52.7
New London, Franklin D Roosevelt, Democrat, 54.5
Tolland, Thomas E Dewey, Republican, 51.2
Windham, Franklin D Roosevelt, Democrat, 55.1
