Fairfield, John G Rowland, Republican, 51.5
Hartford, Lowell Weicker, A Connecticut Party, 50.4
Litchfield, John G Rowland, Republican, 42.3
Middlesex, Lowell Weicker, A Connecticut Party, 49
New Haven, John G Rowland, Republican, 39.8
New London, Lowell Weicker, A Connecticut Party, 46.8
Tolland, Lowell Weicker, A Connecticut Party, 51.3
Windham, Lowell Weicker, A Connecticut Party, 46.1
