Bristol, Bruce Sundlun, Democrat, 70
Kent, Bruce Sundlun, Democrat, 74.6
Newport, Bruce Sundlun, Democrat, 72.6
Providence, Bruce Sundlun, Democrat, 75.2
Washington, Bruce Sundlun, Democrat, 70.8
