Belknap, Judd Gregg, Republican, 60.8
Carroll, Judd Gregg, Republican, 70.1
Cheshire, J Joseph Grandmaison, Democrat, 48
Coos, Judd Gregg, Republican, 60.5
Grafton, Judd Gregg, Republican, 58.2
Hillsborough, Judd Gregg, Republican, 65.4
Merrimack, Judd Gregg, Republican, 53.5
Rockingham, Judd Gregg, Republican, 63.2
Strafford, Judd Gregg, Republican, 54.9
Sullivan, Judd Gregg, Republican, 53
