Bristol, Jack Reed, Democrat, 75.8
Kent, Jack Reed, Democrat, 76.2
Newport, Jack Reed, Democrat, 74.2
Providence, Jack Reed, Democrat, 81.5
Washington, Jack Reed, Democrat, 73.5
