Belknap, John E Sununu, Republican, 57.7
Carroll, John E Sununu, Republican, 55.2
Cheshire, Jeanne Shaheen, Democrat, 54.9
Coös, Jeanne Shaheen, Democrat, 52.6
Grafton, Jeanne Shaheen, Democrat, 50.7
Hillsborough, John E Sununu, Republican, 53
Merrimack, Jeanne Shaheen, Democrat, 50.3
Rockingham, John E Sununu, Republican, 54.2
Strafford, Jeanne Shaheen, Democrat, 52
Sullivan, John E Sununu, Republican, 50.1
