Bristol, Lincoln Chafee, Independent, 37
Kent, John Robitaille, Republican, 36.8
Newport, John Robitaille, Republican, 39.5
Providence, Lincoln Chafee, Independent, 34.9
Washington, Lincoln Chafee, Independent, 39.8
