Belknap, John Lynch, Democrat, 48.75
Carroll, John Lynch, Democrat, 49.2
Cheshire, John Lynch, Democrat, 59
Coös, John Lynch, Democrat, 53.8
Grafton, John Lynch, Democrat, 59.3
Hillsborough, John Lynch, Democrat, 49.9
Merrimack, John Lynch, Democrat, 58
Rockingham, John Stephen, Republican, 49.6
Strafford, John Lynch, Democrat, 59.4
Sullivan, John Lynch, Democrat, 54.7
