Fairfield, Thomas C Foley, Republican, 51.1
Hartford, Daniel Malloy, Democrat, 52.4
Litchfield, Thomas C Foley, Republican, 58.1
Middlesex, Thomas C Foley, Republican, 49.3
New Haven, Daniel Malloy, Democrat, 51.9
New London, Thomas C Foley, Republican, 49.1
Tolland, Thomas C Foley, Republican, 51.2
Windham, Thomas C Foley, Republican, 50.1
