Belknap, Chris Sununu, Republican, 67.5
Carroll, Chris Sununu, Republican, 60.9
Cheshire, Tom Sherman, Democrat, 49.8
Coös, Chris Sununu, Republican, 64.4
Grafton, Tom Sherman, Democrat, 50.4
Hillsborough, Chris Sununu, Republican, 58
Merrimack, Chris Sununu, Republican, 54.7
Rockingham, Chris Sununu, Republican, 59.8
Strafford, Chris Sununu, Republican, 51.5
Sullivan, Chris Sununu, Republican, 58.4
