Fairfield, Ned Lamont, Democrat, 58.7
Hartford, Ned Lamont, Democrat, 59.6
Litchfield, Bob Stefanowski, Republican, 54.2
Middlesex, Ned Lamont, Democrat, 54.9
New Haven, Ned Lamont, Democrat, 54.9
New London, Ned Lamont, Democrat, 54.8
Tolland, Ned Lamont, Democrat, 52.4
Windham, Bob Stefanowski, Republican, 52.6
