Bristol, Dan McKee, Democrat, 61.8
Kent, Dan McKee, Democrat, 52.8
Newport, Dan McKee, Democrat, 61.6
Providence, Dan McKee, Democrat, 58.8
Washington, Dan McKee, Democrat, 58
