Fairfield, Dwight D Eisenhower, Republican, 60.7
Hartford, Dwight D Eisenhower, Republican, 50.5
Litchfield, Dwight D Eisenhower, Republican, 63.8
Middlesex, Dwight D Eisenhower, Republican, 58.4
New Haven, Dwight D Eisenhower, Republican, 54.7
New London, Dwight D Eisenhower, Republican, 54.8
Tolland, Dwight D Eisenhower, Republican, 58.7
Windham, Dwight D Eisenhower, Republican, 53.5
