Belknap, Dwight D Eisenhower, Republican, 71.81
Carroll, Dwight D Eisenhower, Republican, 82.61
Cheshire, Dwight D Eisenhower, Republican, 63.94
Coös, Dwight D Eisenhower, Republican, 55.97
Grafton, Dwight D Eisenhower, Republican, 72.24
Hillsborough, Adlai Stevenson, Democrat, 50.32
Merrimack, Dwight D Eisenhower, Republican, 67.92
Rockingham, Dwight D Eisenhower, Republican, 68.58
Strafford, Dwight D Eisenhower, Republican, 53.88
Sullivan, Dwight D Eisenhower, Republican, 63.68
