Bristol, Dwight D Eisenhower, Republican, 50.4
Kent, Dwight D Eisenhower, Republican, 60.9
Newport, Dwight D Eisenhower, Republican, 57.6
Providence, Adlai Stevenson, Democrat, 51.8
Washington, Dwight D Eisenhower, Republican, 61.3
