Belknap, Scott Brown, Republican, 52.9
Carroll, Jeanne Shaheen, Democrat, 50.7
Cheshire, Jeanne Shaheen, Democrat, 60.5
Coös, Jeanne Shaheen, Democrat, 62.1
Grafton, Jeanne Shaheen, Democrat, 61.6
Hillsborough, Scott Brown, Republican, 51
Merrimack, Jeanne Shaheen, Democrat, 56.7
Rockingham, Scott Brown, Republican, 54.5
Strafford, Jeanne Shaheen, Democrat, 55.9
Sullivan, Jeanne Shaheen, Democrat, 56.7
