McCulloch, John Cornyn, Republican, 83.8
McLennan, John Cornyn, Republican, 71.1
McMullen, John Cornyn, Republican, 86.7
Madison, John Cornyn, Republican, 81
Marion, John Cornyn, Republican, 67.3
Martin, John Cornyn, Republican, 85.6
Mason, John Cornyn, Republican, 80.8
Matagorda, John Cornyn, Republican, 70
Maverick, David Alameel, Democrat, 67.1
Medina, John Cornyn, Republican, 75.8
Menard, John Cornyn, Republican, 87.7
Midland, John Cornyn, Republican, 85.2
Milam, John Cornyn, Republican, 73.9
Mills, John Cornyn, Republican, 89.6
Mitchell, John Cornyn, Republican, 81.8
Montague, John Cornyn, Republican, 85.7
Montgomery, John Cornyn, Republican, 81.6
Moore, John Cornyn, Republican, 87.8
Morris, John Cornyn, Republican, 65.4
Motley, John Cornyn, Republican, 95.3
Nacogdoches, John Cornyn, Republican, 75.6
Navarro, John Cornyn, Republican, 76
Newton, John Cornyn, Republican, 72.6
Nolan, John Cornyn, Republican, 79.8
Nueces, John Cornyn, Republican, 57.1
Ochiltree, John Cornyn, Republican, 93.8
Oldham, John Cornyn, Republican, 93
Orange, John Cornyn, Republican, 77.3
Palo Pinto, John Cornyn, Republican, 80.7
Panola, John Cornyn, Republican, 80.6
Parker, John Cornyn, Republican, 82.7
Parmer, John Cornyn, Republican, 89
Pecos, John Cornyn, Republican, 63.5
Polk, John Cornyn, Republican, 77.7
Potter, John Cornyn, Republican, 77.5
Presidio, David Alameel, Democrat, 57.8
Rains, John Cornyn, Republican, 82.4
Randall, John Cornyn, Republican, 86.2
Reagan, John Cornyn, Republican, 85.2
Real, John Cornyn, Republican, 83.9
Red River, John Cornyn, Republican, 74.7
Reeves, John Cornyn, Republican, 50.4
Refugio, John Cornyn, Republican, 62.5
Roberts, John Cornyn, Republican, 94.1
Robertson, John Cornyn, Republican, 63.8
Rockwall, John Cornyn, Republican, 78.9
Runnels, John Cornyn, Republican, 88.5
Rusk, John Cornyn, Republican, 80.9
Sabine, John Cornyn, Republican, 84.9
San Augustine, John Cornyn, Republican, 68.8
San Jacinto, John Cornyn, Republican, 74.3
San Patricio, John Cornyn, Republican, 64.3
San Saba, John Cornyn, Republican, 88.3
Schleicher, John Cornyn, Republican, 72.4
Scurry, John Cornyn, Republican, 87.5
Shackelford, John Cornyn, Republican, 92.1
Shelby, John Cornyn, Republican, 79.2
Sherman, John Cornyn, Republican, 92.1
Smith, John Cornyn, Republican, 76.3
Somervell, John Cornyn, Republican, 83.1
Starr, David Alameel, Democrat, 76.4
Stephens, John Cornyn, Republican, 90.1
Sterling, John Cornyn, Republican, 93.1
Stonewall, John Cornyn, Republican, 77
Sutton, John Cornyn, Republican, 85.4
Swisher, John Cornyn, Republican, 75
Tarrant, John Cornyn, Republican, 60
Taylor, John Cornyn, Republican, 81.7
Terrell, John Cornyn, Republican, 62.7
Terry, John Cornyn, Republican, 81.7
Throckmorton, John Cornyn, Republican, 86.2
Titus, John Cornyn, Republican, 74.8
Tom Green, John Cornyn, Republican, 80
Travis, David Alameel, Democrat, 56
Trinity, John Cornyn, Republican, 75.1
Tyler, John Cornyn, Republican, 78.6
Upshur, John Cornyn, Republican, 81.5
Upton, John Cornyn, Republican, 80.4
Uvalde, John Cornyn, Republican, 59.4
Val Verde, John Cornyn, Republican, 47.7
Van Zandt, John Cornyn, Republican, 83.7
Victoria, John Cornyn, Republican, 74.9
Walker, John Cornyn, Republican, 70.6
Waller, John Cornyn, Republican, 70.8
Ward, John Cornyn, Republican, 74.2
Washington, John Cornyn, Republican, 79
Webb, David Alameel, Democrat, 59.2
Wharton, John Cornyn, Republican, 76.2
Wheeler, John Cornyn, Republican, 90.1
Wichita, John Cornyn, Republican, 76.9
Wilbarger, John Cornyn, Republican, 79.1
Willacy, David Alameel, Democrat, 53.5
Williamson, John Cornyn, Republican, 61.5
Wilson, John Cornyn, Republican, 75
Winkler, John Cornyn, Republican, 82.1
Wise, John Cornyn, Republican, 82.7
Wood, John Cornyn, Republican, 86.5
Yoakum, John Cornyn, Republican, 90.5
Young, John Cornyn, Republican, 86.1
Zapata, David Alameel, Democrat, 66.4
Zavala, David Alameel, Democrat, 72.9
