Bristol, Jack Reed, Democrat, 72.1
Kent, Jack Reed, Democrat, 66
Newport, Jack Reed, Democrat, 70.7
Providence, Jack Reed, Democrat, 73.3
Washington, Jack Reed, Democrat, 66.1
