Belknap, Chris Sununu, Republican, 54.7
Carroll, Chris Sununu, Republican, 52.38
Cheshire, Colin Van Ostern, Democrat, 46.57
Coös, Chris Sununu, Republican, 48.9
Grafton, Colin Van Ostern, Democrat, 55.64
Hillsborough, Chris Sununu, Republican, 49.7
Merrimack, Colin Van Ostern, Democrat, 50.26
Rockingham, Chris Sununu, Republican, 53.52
Strafford, Colin Van Ostern, Democrat, 50.97
Sullivan, Chris Sununu, Republican, 48.8
