Bristol, Jack Reed, Democrat, 69.8
Kent, Jack Reed, Democrat, 60.8
Newport, Jack Reed, Democrat, 69.3
Providence, Jack Reed, Democrat, 68.2
Washington, Jack Reed, Democrat, 64.2
