Belknap, Jeanne Shaheen, Democrat, 49.15
Carroll, Jeanne Shaheen, Democrat, 53.61
Cheshire, Jeanne Shaheen, Democrat, 63.03
Coös, Jeanne Shaheen, Democrat, 53.57
Grafton, Jeanne Shaheen, Democrat, 63.77
Hillsborough, Jeanne Shaheen, Democrat, 56.5
Merrimack, Jeanne Shaheen, Democrat, 58.74
Rockingham, Jeanne Shaheen, Democrat, 53.72
Strafford, Jeanne Shaheen, Democrat, 60.94
Sullivan, Jeanne Shaheen, Democrat, 54.58
