Belknap, Gordon Humphrey, Republican, 48.3
Carroll, Gordon Humphrey, Republican, 49.5
Cheshire, Jeanne Shaheen, Democrat, 53.7
Coös, Jeanne Shaheen, Democrat, 48.2
Grafton, Jeanne Shaheen, Democrat, 48.3
Hillsborough, Jeanne Shaheen, Democrat, 47.6
Merrimack, Jeanne Shaheen, Democrat, 52.9
Rockingham, Jeanne Shaheen, Democrat, 46.3
Strafford, Jeanne Shaheen, Democrat, 57
Sullivan, Gordon Humphrey, Republican, 46.8
