Liberty, Phil Gramm, Republican, 58.8
Limestone, Phil Gramm, Republican, 49.5
Lipscomb, Phil Gramm, Republican, 72.6
Live Oak, Phil Gramm, Republican, 66
Llano, Phil Gramm, Republican, 58.7
Loving, Phil Gramm, Republican, 75.6
Lubbock, Phil Gramm, Republican, 74
Lynn, Phil Gramm, Republican, 62.4
McCulloch, Phil Gramm, Republican, 63.3
McLennan, Phil Gramm, Republican, 55.3
McMullen, Phil Gramm, Republican, 76.4
Madison, Phil Gramm, Republican, 49.9
Marion, Phil Gramm, Republican, 55.2
Martin, Phil Gramm, Republican, 70.9
Mason, Phil Gramm, Republican, 65.4
Matagorda, Phil Gramm, Republican, 58.9
Maverick, Hugh Parmer, Democrat, 52.4
Medina, Phil Gramm, Republican, 63.3
Menard, Phil Gramm, Republican, 64.3
Midland, Phil Gramm, Republican, 79.9
Milam, Hugh Parmer, Democrat, 55.9
Mills, Phil Gramm, Republican, 54.3
Mitchell, Phil Gramm, Republican, 62
Montague, Phil Gramm, Republican, 56.4
Montgomery, Phil Gramm, Republican, 70.6
Moore, Phil Gramm, Republican, 71.2
Morris, Hugh Parmer, Democrat, 54.7
Motley, Phil Gramm, Republican, 66.8
Nacogdoches, Phil Gramm, Republican, 65.9
Navarro, Phil Gramm, Republican, 55.3
Newton, Hugh Parmer, Democrat, 59.2
Nolan, Phil Gramm, Republican, 60.5
Nueces, Phil Gramm, Republican, 59.2
Ochiltree, Phil Gramm, Republican, 84
Oldham, Phil Gramm, Republican, 68.2
Orange, Phil Gramm, Republican, 49.8
Palo Pinto, Phil Gramm, Republican, 56.4
Panola, Phil Gramm, Republican, 56.3
Parker, Phil Gramm, Republican, 62.4
Parmer, Phil Gramm, Republican, 66.3
Pecos, Phil Gramm, Republican, 62.3
Polk, Phil Gramm, Republican, 54.8
Potter, Phil Gramm, Republican, 64.8
Presidio, Hugh Parmer, Democrat, 58.2
Rains, Phil Gramm, Republican, 53.4
Randall, Phil Gramm, Republican, 77.1
Reagan, Phil Gramm, Republican, 83
Real, Phil Gramm, Republican, 70.7
Red River, Phil Gramm, Republican, 50.2
Reeves, Phil Gramm, Republican, 52.2
Refugio, Phil Gramm, Republican, 60
Roberts, Phil Gramm, Republican, 75
Robertson, Hugh Parmer, Democrat, 56
Rockwall, Phil Gramm, Republican, 73.2
Runnels, Phil Gramm, Republican, 68.2
Rusk, Phil Gramm, Republican, 67.7
Sabine, Phil Gramm, Republican, 51.5
San Augustine, Phil Gramm, Republican, 52.7
San Jacinto, Phil Gramm, Republican, 55.7
San Patricio, Phil Gramm, Republican, 57.7
San Saba, Phil Gramm, Republican, 51.8
Schleicher, Phil Gramm, Republican, 71.4
Scurry, Phil Gramm, Republican, 72.8
Shackelford, Phil Gramm, Republican, 69
Shelby, Phil Gramm, Republican, 55.4
Sherman, Phil Gramm, Republican, 68.7
Smith, Phil Gramm, Republican, 68.6
Somervell, Phil Gramm, Republican, 60.4
Starr, Hugh Parmer, Democrat, 75.1
Stephens, Phil Gramm, Republican, 69.5
Sterling, Phil Gramm, Republican, 82.2
Stonewall, Hugh Parmer, Democrat, 52.4
Sutton, Phil Gramm, Republican, 74.2
Swisher, Hugh Parmer, Democrat, 54.1
Tarrant, Phil Gramm, Republican, 60.8
Taylor, Phil Gramm, Republican, 72.4
Terrell, Phil Gramm, Republican, 52.6
Terry, Phil Gramm, Republican, 66.5
Throckmorton, Phil Gramm, Republican, 55.5
Titus, Phil Gramm, Republican, 56.1
Tom Green, Phil Gramm, Republican, 71.2
Travis, Hugh Parmer, Democrat, 51.6
Trinity, Phil Gramm, Republican, 55.5
Tyler, Phil Gramm, Republican, 53
Upshur, Phil Gramm, Republican, 57.3
Upton, Phil Gramm, Republican, 77.8
Uvalde, Phil Gramm, Republican, 62.6
Val Verde, Phil Gramm, Republican, 51.1
Van Zandt, Phil Gramm, Republican, 59.8
Victoria, Phil Gramm, Republican, 70.8
Walker, Phil Gramm, Republican, 65.2
Waller, Phil Gramm, Republican, 51.4
Ward, Phil Gramm, Republican, 67.3
Washington, Phil Gramm, Republican, 70
Webb, Hugh Parmer, Democrat, 49.2
Wharton, Phil Gramm, Republican, 62.6
Wheeler, Phil Gramm, Republican, 66.9
Wichita, Phil Gramm, Republican, 58.9
Wilbarger, Phil Gramm, Republican, 57.3
Willacy, Hugh Parmer, Democrat, 50.5
Williamson, Phil Gramm, Republican, 58.9
Wilson, Phil Gramm, Republican, 57
Winkler, Phil Gramm, Republican, 70.5
Wise, Phil Gramm, Republican, 53.7
Wood, Phil Gramm, Republican, 64
Yoakum, Phil Gramm, Republican, 71.4
Young, Phil Gramm, Republican, 65.9
Zapata, Hugh Parmer, Democrat, 53.3
Zavala, Hugh Parmer, Democrat, 76.3
