Beaverhead, Allen Kolstad, Republican, 48.8
Big Horn, Max Baucus, Democrat, 77.9
Blaine, Max Baucus, Democrat, 74.7
Broadwater, Max Baucus, Democrat, 54.6
Carbon, Max Baucus, Democrat, 72.8
Carter, Max Baucus, Democrat, 50.5
Cascade, Max Baucus, Democrat, 74.8
Chouteau, Max Baucus, Democrat, 63.5
Custer, Max Baucus, Democrat, 73.6
Daniels, Max Baucus, Democrat, 68.2
Dawson, Max Baucus, Democrat, 70.1
Deer Lodge, Max Baucus, Democrat, 85
Fallon, Max Baucus, Democrat, 60.3
Fergus, Max Baucus, Democrat, 64
Flathead, Max Baucus, Democrat, 60.9
Gallatin, Max Baucus, Democrat, 59.9
Garfield, Max Baucus, Democrat, 58.9
Glacier, Max Baucus, Democrat, 64.2
Golden Valley, Max Baucus, Democrat, 59.5
Granite, Max Baucus, Democrat, 52.4
Hill, Max Baucus, Democrat, 70
Jefferson, Max Baucus, Democrat, 64.7
Judith Basin, Max Baucus, Democrat, 70.6
Lake, Max Baucus, Democrat, 59.6
Lewis and Clark, Max Baucus, Democrat, 72.6
Liberty, Allen Kolstad, Republican, 49.3
Lincoln, Max Baucus, Democrat, 55.7
McCone, Max Baucus, Democrat, 66.1
Madison, Max Baucus, Democrat, 50.9
Meagher, Max Baucus, Democrat, 63.1
Mineral, Max Baucus, Democrat, 71.8
Missoula, Max Baucus, Democrat, 71.2
Musselshell, Max Baucus, Democrat, 70
Park, Max Baucus, Democrat, 61
Petroleum, Max Baucus, Democrat, 62.8
Phillips, Max Baucus, Democrat, 68.3
Pondera, Max Baucus, Democrat, 60.8
Powder River, Max Baucus, Democrat, 58.9
Powell, Max Baucus, Democrat, 62.8
Prairie, Max Baucus, Democrat, 67.4
Ravalli, Max Baucus, Democrat, 54.5
Richland, Max Baucus, Democrat, 67
Roosevelt, Max Baucus, Democrat, 71.3
Rosebud, Max Baucus, Democrat, 74.3
Sanders, Max Baucus, Democrat, 62.8
Sheridan, Max Baucus, Democrat, 75.3
Silver Bow, Max Baucus, Democrat, 82
Stillwater, Max Baucus, Democrat, 72.9
Sweet Grass, Max Baucus, Democrat, 58.8
Teton, Max Baucus, Democrat, 66.5
Toole, Max Baucus, Democrat, 62.2
Treasure, Max Baucus, Democrat, 75.7
Valley, Max Baucus, Democrat, 69.4
Wheatland, Max Baucus, Democrat, 67.6
Wibaux, Max Baucus, Democrat, 66.9
Yellowstone, Max Baucus, Democrat, 72.7
