Belknap, Bob Smith, Republican, 70
Carroll, Bob Smith, Republican, 72.2
Cheshire, Bob Smith, Republican, 56.7
Coös, Bob Smith, Republican, 62.3
Grafton, Bob Smith, Republican, 63.7
Hillsborough, Bob Smith, Republican, 67.4
Merrimack, Bob Smith, Republican, 62.1
Rockingham, Bob Smith, Republican, 66.5
Strafford, Bob Smith, Republican, 62.7
Sullivan, Bob Smith, Republican, 60.3
