Bristol, Claiborne Pell, Democrat, 58.8
Kent, Claiborne Pell, Democrat, 55.7
Newport, Claiborne Pell, Democrat, 59.3
Providence, Claiborne Pell, Democrat, 65.6
Washington, Claiborne Pell, Democrat, 56.3
