Fairfield, John G Rowland, Republican, 66.1
Hartford, John G Rowland, Republican, 59.7
Litchfield, John G Rowland, Republican, 72.3
Middlesex, John G Rowland, Republican, 62.8
New Haven, John G Rowland, Republican, 63.8
New London, John G Rowland, Republican, 57.7
Tolland, John G Rowland, Republican, 61.4
Windham, John G Rowland, Republican, 55.1
