Belknap, Jeanne Shaheen, Democrat, 63.9
Carroll, Jeanne Shaheen, Democrat, 63.6
Cheshire, Jeanne Shaheen, Democrat, 70.1
Coös, Jeanne Shaheen, Democrat, 66.5
Grafton, Jeanne Shaheen, Democrat, 66.2
Hillsborough, Jeanne Shaheen, Democrat, 63.7
Merrimack, Jeanne Shaheen, Democrat, 71.4
Rockingham, Jeanne Shaheen, Democrat, 63.5
Strafford, Jeanne Shaheen, Democrat, 72.4
Sullivan, Jeanne Shaheen, Democrat, 66.5
