Aleutians East, Mitt Romney, Republican, 53.3
Aleutians West, Barack Obama, Democrat, 62.8
Anchorage, Mitt Romney, Republican, 53.0
Bethel, Barack Obama, Democrat, 71.6
Bristol Bay, Mitt Romney, Republican, 59.7
Chugach, Mitt Romney, Republican, 53.3
Copper River, Mitt Romney, Republican, 69.9
Denali, Mitt Romney, Republican, 51.6
Dillingham, Barack Obama, Democrat, 58.7
Fairbanks North Star, Mitt Romney, Republican, 58.6
Haines, Mitt Romney, Republican, 47.7
Hoonah-Angoon, Barack Obama, Democrat, 59.2
Juneau, Barack Obama, Democrat, 57.4
Kenai Peninsula, Mitt Romney, Republican, 66.0
Ketchikan Gateway, Mitt Romney, Republican, 55.3
Kodiak Island, Mitt Romney, Republican, 57.0
Kusilvak, Barack Obama, Democrat, 77.4
Lake and Peninsula, Barack Obama, Democrat, 56.5
Matanuska-Susitna, Mitt Romney, Republican, 71.3
Nome, Barack Obama, Democrat, 63.8
North Slope, Barack Obama, Democrat, 63.0
Northwest Arctic, Barack Obama, Democrat, 65.5
Petersburg, Mitt Romney, Republican, 50.2
Prince of Wales-Hyder, Barack Obama, Democrat, 52.3
Sitka, Barack Obama, Democrat, 53.0
Skagway, Barack Obama, Democrat, 58.0
Southeast Fairbanks, Mitt Romney, Republican, 73.0
Wrangell, Mitt Romney, Republican, 64.7
Yakutat, Barack Obama, Democrat, 55.9
Yukon-Koyukuk, Barack Obama, Democrat, 61.7
