Fairfield, Barack Obama, Democrat, 54.85
Hartford, Barack Obama, Democrat, 62.37
Litchfield, Mitt Romney, Republican, 51.07
Middlesex, Barack Obama, Democrat, 57.29
New Haven, Barack Obama, Democrat, 60.65
New London, Barack Obama, Democrat, 58.33
Tolland, Barack Obama, Democrat, 55.5
Windham, Barack Obama, Democrat, 55.83
Statewide Writein, Barack Obama, Democrat, 67.81
Statewide Writein, Mitt Romney, Republican, 28.09
Statewide Writein, Other, Other, 100
