Belknap, Mitt Romney, Republican, 51.85
Carroll, Mitt Romney, Republican, 49.69
Cheshire, Barack Obama, Democrat, 61.36
Coös, Barack Obama, Democrat, 57.92
Grafton, Barack Obama, Democrat, 60.86
Hillsborough, Barack Obama, Democrat, 49.74
Merrimack, Barack Obama, Democrat, 55.6
Rockingham, Mitt Romney, Republican, 51.59
Strafford, Barack Obama, Democrat, 56.33
Sullivan, Barack Obama, Democrat, 55.72
