Fairfield, Ned Lamont, Democrat, 53.01
Hartford, Ned Lamont, Democrat, 51.74
Litchfield, Bob Stefanowski, Republican, 57.69
Middlesex, Bob Stefanowski, Republican, 48.54
New Haven, Ned Lamont, Democrat, 49.39
New London, Ned Lamont, Democrat, 47.38
Tolland, Bob Stefanowski, Republican, 47.98
Windham, Bob Stefanowski, Republican, 52.35
