Bristol, Gina Raimondo, Democrat, 58.2
Kent, Allan Fung, Republican, 44.4
Newport, Gina Raimondo, Democrat, 59.6
Providence, Gina Raimondo, Democrat, 53.8
Washington, Gina Raimondo, Democrat, 52.5
