Fairfield, Joe Lieberman, Connecticut for Lieberman, 51.4
Hartford, Joe Lieberman, Connecticut for Lieberman, 45.9
Litchfield, Joe Lieberman, Connecticut for Lieberman, 50.02
Middlesex, Joe Lieberman, Connecticut for Lieberman, 48.1
New Haven, Joe Lieberman, Connecticut for Lieberman, 53.3
New London, Joe Lieberman, Connecticut for Lieberman, 50.9
Tolland, Joe Lieberman, Connecticut for Lieberman, 44.8
Windham, Joe Lieberman, Connecticut for Lieberman, 47.1
