Albany, Hillary Clinton, Democrat, 70.8
Allegany, John Spencer, Republican, 50.6
Bronx, Hillary Clinton, Democrat, 89.5
Broome, Hillary Clinton, Democrat, 58.9
Cattaraugus, Hillary Clinton, Democrat, 53.1
Cayuga, Hillary Clinton, Democrat, 63.6
Chautauqua, Hillary Clinton, Democrat, 54.6
Chemung, Hillary Clinton, Democrat, 58
Chenango, Hillary Clinton, Democrat, 54.1
Clinton, Hillary Clinton, Democrat, 63.8
Columbia, Hillary Clinton, Democrat, 60.9
Cortland, Hillary Clinton, Democrat, 58.6
Delaware, Hillary Clinton, Democrat, 51.1
Dutchess, Hillary Clinton, Democrat, 56
Erie, Hillary Clinton, Democrat, 63.6
Essex, Hillary Clinton, Democrat, 56.1
Franklin, Hillary Clinton, Democrat, 65.1
Fulton, Hillary Clinton, Democrat, 56.8
Genesee, Hillary Clinton, Democrat, 50.8
Greene, Hillary Clinton, Democrat, 51.3
Hamilton, John Spencer, Republican, 55.5
Herkimer, Hillary Clinton, Democrat, 55.4
Jefferson, Hillary Clinton, Democrat, 61.6
Kings, Hillary Clinton, Democrat, 84.1
Lewis, Hillary Clinton, Democrat, 54.1
Livingston, Hillary Clinton, Democrat, 51.6
Madison, Hillary Clinton, Democrat, 56.7
Monroe, Hillary Clinton, Democrat, 62
Montgomery, Hillary Clinton, Democrat, 61
Nassau, Hillary Clinton, Democrat, 60.5
New York, Hillary Clinton, Democrat, 86
Niagara, Hillary Clinton, Democrat, 59.8
Oneida, Hillary Clinton, Democrat, 58.2
Onondaga, Hillary Clinton, Democrat, 64.2
Ontario, Hillary Clinton, Democrat, 57.3
Orange, Hillary Clinton, Democrat, 57.2
Orleans, Hillary Clinton, Democrat, 50.6
Oswego, Hillary Clinton, Democrat, 58.8
Otsego, Hillary Clinton, Democrat, 56.7
Putnam, Hillary Clinton, Democrat, 52
Queens, Hillary Clinton, Democrat, 80.4
Rensselaer, Hillary Clinton, Democrat, 62.9
Richmond, Hillary Clinton, Democrat, 57.5
Rockland, Hillary Clinton, Democrat, 60.3
St. Lawrence, Hillary Clinton, Democrat, 67.9
Saratoga, Hillary Clinton, Democrat, 57.3
Schenectady, Hillary Clinton, Democrat, 64
Schoharie, Hillary Clinton, Democrat, 51.6
Schuyler, Hillary Clinton, Democrat, 53.3
Seneca, Hillary Clinton, Democrat, 61.8
Steuben, John Spencer, Republican, 49.2
Suffolk, Hillary Clinton, Democrat, 59.4
Sullivan, Hillary Clinton, Democrat, 60.9
Tioga, Hillary Clinton, Democrat, 50.8
Tompkins, Hillary Clinton, Democrat, 67.5
Ulster, Hillary Clinton, Democrat, 61.3
Warren, Hillary Clinton, Democrat, 58.1
Washington, Hillary Clinton, Democrat, 56.6
Wayne, Hillary Clinton, Democrat, 51.5
Westchester, Hillary Clinton, Democrat, 66.5
Wyoming, John Spencer, Republican, 51.3
Yates, Hillary Clinton, Democrat, 56.4
