Bristol, Lincoln Chafee, Republican, 50.1
Kent, Lincoln Chafee, Republican, 52.6
Newport, Lincoln Chafee, Republican, 50.5
Providence, Sheldon Whitehouse, Democrat, 58.9
Washington, Lincoln Chafee, Republican, 54.6
