Fairfield, George H W Bush, Republican, 42.8
Hartford, Bill Clinton, Democrat, 47.1
Litchfield, George H W Bush, Republican, 37
Middlesex, Bill Clinton, Democrat, 42.8
New Haven, Bill Clinton, Democrat, 41.9
New London, Bill Clinton, Democrat, 42.3
Tolland, Bill Clinton, Democrat, 41.4
Windham, Bill Clinton, Democrat, 40.4
