Hawaii, Bill Clinton, Democrat, 50.5
Honolulu, Bill Clinton, Democrat, 46.6
Kalawao, Bill Clinton, Democrat, 64
Kauai, Bill Clinton, Democrat, 56
Maui, Bill Clinton, Democrat, 51.3
