Providence, Bill Clinton, Democrat, 49.5
Bristol, Bill Clinton, Democrat, 45.8
Newport, Bill Clinton, Democrat, 44.4
Kent, Bill Clinton, Democrat, 43.6
Washington, Bill Clinton, Democrat, 43.6
