Belknap, George H W Bush, Republican, 42.16
Carroll, George H W Bush, Republican, 40.16
Cheshire, Bill Clinton, Democrat, 46.33
Coös, Bill Clinton, Democrat, 41.5
Grafton, Bill Clinton, Democrat, 42.34
Hillsborough, George H W Bush, Republican, 39.04
Merrimack, Bill Clinton, Democrat, 41.54
Rockingham, George H W Bush, Republican, 38.25
Strafford, Bill Clinton, Democrat, 44.69
Sullivan, Bill Clinton, Democrat, 44.5
