Fairfield, George H W Bush, Republican, 59.04
Hartford, Michael Dukakis, Democrat, 53.08
Litchfield, George H W Bush, Republican, 55.97
Middlesex, George H W Bush, Republican, 50.01
New Haven, George H W Bush, Republican, 50.9
New London, George H W Bush, Republican, 51.22
Tolland, George H W Bush, Republican, 50.8
Windham, George H W Bush, Republican, 50.88
