Belknap, George H W Bush, Republican, 67.92
Carroll, George H W Bush, Republican, 70.78
Cheshire, George H W Bush, Republican, 54.53
Coös, George H W Bush, Republican, 63.32
Grafton, George H W Bush, Republican, 62
Hillsborough, George H W Bush, Republican, 65
Merrimack, George H W Bush, Republican, 60.66
Rockingham, George H W Bush, Republican, 63.15
Strafford, George H W Bush, Republican, 54.41
Sullivan, George H W Bush, Republican, 57.82
