Fairfield, Chris Dodd, Democrat, 59.9
Hartford, Chris Dodd, Democrat, 69.3
Litchfield, Chris Dodd, Democrat, 58.1
Middlesex, Chris Dodd, Democrat, 68.1
New Haven, Chris Dodd, Democrat, 65.7
New London, Chris Dodd, Democrat, 67
Tolland, Chris Dodd, Democrat, 67.1
Windham, Chris Dodd, Democrat, 66.6
